Date;Indice;Typologie
1990-01;75.09;A
1990-02;70.78;A
1990-03;73.85;A
1990-04;80.16;A
1990-05;76.83;A
1990-06;79.01;A
1990-07;78.45;A
1990-08;78.89;A
1990-09;80.02;A
1990-10;76.95;A
1990-11;80.64;A
1990-12;84.95;A
1991-01;82.13;A
1991-02;89.77;A
1991-03;78.53;A
1991-04;82.28;A
1991-05;88.67;A
1991-06;83.58;A
1991-07;83.07;A
1991-08;82.1;A
1991-09;81.67;A
1991-10;83.72;A
1991-11;86.79;A
1991-12;87.27;A
1992-01;86.39;A
1992-02;85.14;A
1992-03;85.79;A
1992-04;86.59;A
1992-05;85.16;A
1992-06;84.08;A
1992-07;84.85;A
1992-08;85.04;A
1992-09;84.55;A
1992-10;88.73;A
1992-11;83.56;A
1992-12;84.59;A
1993-01;82.49;A
1993-02;87.77;A
1993-03;88.35;A
1993-04;84.0;A
1993-05;85.62;A
1993-06;86.1;A
1993-07;85.69;A
1993-08;86.08;A
1993-09;88.06;A
1993-10;88.11;A
1993-11;93.88;A
1993-12;86.89;A
1994-01;86.25;A
1994-02;87.26;A
1994-03;84.47;A
1994-04;92.53;A
1994-05;87.3;A
1994-06;87.84;A
1994-07;87.96;A
1994-08;88.8;A
1994-09;89.25;A
1994-10;88.2;A
1994-11;84.82;A
1994-12;86.53;A
1995-01;90.67;A
1995-02;84.02;A
1995-03;92.73;A
1995-04;90.77;A
1995-05;91.75;A
1995-06;92.06;A
1995-07;92.41;A
1995-08;92.95;A
1995-09;90.58;A
1995-10;84.55;A
1995-11;89.52;A
1995-12;89.96;A
1996-01;90.42;A
1996-02;96.85;A
1996-03;94.83;A
1996-04;91.49;A
1996-05;95.09;A
1996-06;92.8;A
1996-07;92.58;A
1996-08;91.23;A
1996-09;93.81;A
1996-10;92.9;A
1996-11;93.81;A
1996-12;94.5;A
1997-01;96.16;A
1997-02;90.27;A
1997-03;86.26;A
1997-04;92.21;A
1997-05;92.8;A
1997-06;93.84;A
1997-07;93.55;A
1997-08;95.08;A
1997-09;92.91;A
1997-10;93.99;A
1997-11;91.82;A
1997-12;92.79;A
1998-01;91.79;A
1998-02;93.28;A
1998-03;95.24;A
1998-04;96.7;A
1998-05;96.03;A
1998-06;95.73;A
1998-07;93.62;A
1998-08;91.01;A
1998-09;93.4;A
1998-10;95.63;A
1998-11;97.34;A
1998-12;96.72;A
1999-01;91.58;A
1999-02;97.87;A
1999-03;94.95;A
1999-04;94.35;A
1999-05;93.55;A
1999-06;96.02;A
1999-07;96.46;A
1999-08;96.91;A
1999-09;97.13;A
1999-10;96.42;A
1999-11;98.19;A
1999-12;97.17;A
2000-01;98.3;A
2000-02;97.73;A
2000-03;98.93;A
2000-04;99.55;A
2000-05;97.5;A
2000-06;98.28;A
2000-07;99.98;A
2000-08;101.31;A
2000-09;98.62;A
2000-10;99.98;A
2000-11;99.23;A
2000-12;96.08;A
2001-01;98.92;A
2001-02;99.25;A
2001-03;99.37;A
2001-04;101.79;A
2001-05;101.67;A
2001-06;100.68;A
2001-07;101.36;A
2001-08;102.34;A
2001-09;105.16;A
2001-10;98.74;A
2001-11;103.78;A
2001-12;106.78;A
2002-01;101.2;A
2002-02;98.41;A
2002-03;100.24;A
2002-04;101.46;A
2002-05;104.56;A
2002-06;103.93;A
2002-07;102.81;A
2002-08;101.57;A
2002-09;103.35;A
2002-10;102.94;A
2002-11;101.08;A
2002-12;101.86;A
2003-01;105.56;A
2003-02;110.32;A
2003-03;101.1;A
2003-04;102.23;A
2003-05;102.11;A
2003-06;102.92;A
2003-07;104.59;A
2003-08;103.97;A
2003-09;102.04;A
2003-10;108.44;A
2003-11;104.18;A
2003-12;104.96;A
2004-01;105.78;A
2004-02;105.02;A
2004-03;108.05;A
2004-04;106.38;A
2004-05;106.29;A
2004-06;104.96;A
2004-07;104.72;A
2004-08;104.65;A
2004-09;105.62;A
2004-10;106.99;A
2004-11;106.99;A
2004-12;106.93;A
2005-01;105.37;A
2005-02;108.71;A
2005-03;106.91;A
2005-04;106.26;A
2005-05;106.59;A
2005-06;106.58;A
2005-07;104.82;A
2005-08;107.16;A
2005-09;105.66;A
2005-10;102.21;A
2005-11;107.71;A
2005-12;106.98;A
2006-01;107.24;A
2006-02;104.95;A
2006-03;105.65;A
2006-04;108.97;A
2006-05;105.08;A
2006-06;105.03;A
2006-07;105.79;A
2006-08;105.28;A
2006-09;105.82;A
2006-10;103.45;A
2006-11;103.28;A
2006-12;103.27;A
2007-01;101.17;A
2007-02;102.38;A
2007-03;104.21;A
2007-04;99.94;A
2007-05;104.77;A
2007-06;105.88;A
2007-07;106.57;A
2007-08;106.8;A
2007-09;106.9;A
2007-10;108.62;A
2007-11;104.54;A
2007-12;105.03;A
2008-01;102.6;A
2008-02;102.13;A
2008-03;106.01;A
2008-04;113.8;A
2008-05;104.54;A
2008-06;106.14;A
2008-07;106.78;A
2008-08;106.35;A
2008-09;106.46;A
2008-10;105.09;A
2008-11;105.98;A
2008-12;105.0;A
2009-01;106.19;A
2009-02;104.62;A
2009-03;100.62;A
2009-04;100.28;A
2009-05;100.8;A
2009-06;98.14;A
2009-07;98.34;A
2009-08;99.77;A
2009-09;98.12;A
2009-10;98.48;A
2009-11;96.19;A
2009-12;101.64;A
2010-01;105.92;A
2010-02;105.02;A
2010-03;105.67;A
2010-04;103.01;A
2010-05;104.48;A
2010-06;102.54;A
2010-07;103.82;A
2010-08;103.21;A
2010-09;103.89;A
2010-10;100.46;A
2010-11;106.4;A
2010-12;111.27;A
2011-01;104.45;A
2011-02;100.85;A
2011-03;100.21;A
2011-04;95.9;A
2011-05;99.48;A
2011-06;103.44;A
2011-07;101.79;A
2011-08;102.63;A
2011-09;101.53;A
2011-10;101.85;A
2011-11;100.13;A
2011-12;98.77;A
2012-01;99.49;A
2012-02;112.96;A
2012-03;96.08;A
2012-04;107.32;A
2012-05;99.44;A
2012-06;99.64;A
2012-07;99.0;A
2012-08;100.32;A
2012-09;99.39;A
2012-10;100.36;A
2012-11;102.22;A
2012-12;99.95;A
2013-01;101.83;A
2013-02;105.81;A
2013-03;106.56;A
2013-04;107.33;A
2013-05;106.59;A
2013-06;101.59;A
2013-07;100.75;A
2013-08;101.27;A
2013-09;100.44;A
2013-10;96.23;A
2013-11;104.35;A
2013-12;98.83;A
2014-01;95.87;A
2014-02;95.56;A
2014-03;94.8;A
2014-04;95.5;A
2014-05;99.11;A
2014-06;98.65;A
2014-07;99.9;A
2014-08;99.5;A
2014-09;98.71;A
2014-10;95.87;A
2014-11;96.84;A
2014-12;100.26;A
2015-01;102.28;A
2015-02;104.44;A
2015-03;100.67;A
2015-04;98.21;A
2015-05;98.01;A
2015-06;99.15;A
2015-07;100.84;A
2015-08;98.77;A
2015-09;100.65;A
2015-10;106.78;A
2015-11;97.62;A
2015-12;92.57;A
2016-01;98.33;A
2016-02;101.04;A
2016-03;102.37;A
2016-04;103.87;A
2016-05;97.62;A
2016-06;98.69;A
2016-07;97.74;A
2016-08;98.94;A
2016-09;98.07;A
2016-10;102.64;A
2016-11;102.32;A
2016-12;100.96;A
2017-01;107.14;A
2017-02;95.59;A
2017-03;93.44;A
2017-04;99.42;A
2017-05;100.18;A
2017-06;98.3;A
2017-07;98.72;A
2017-08;99.61;A
2017-09;101.78;A
2017-10;97.86;A
2017-11;101.19;A
2017-12;102.91;A
2018-01;96.09;A
2018-02;108.17;A
2018-03;102.65;A
2018-04;95.68;A
2018-05;95.56;A
2018-06;97.97;A
2018-07;99.7;A
2018-08;99.66;A
2018-09;98.95;A
2018-10;99.74;A
2018-11;98.01;A
2018-12;97.69;A
2019-01;102.55;A
2019-02;97.86;A
2019-03;94.53;A
2019-04;99.48;A
2019-05;102.04;A
2019-06;98.6;A
2019-07;99.55;A
2019-08;98.18;A
2019-09;96.07;A
2019-10;95.19;A
2019-11;97.12;A
2019-12;93.56;A
2020-01;93.84;A
